Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,video_views_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,Population,Latitude,Longitude
T-Series,245000000,228000000000.0,Music,T-Series,20082,India,Music,1.0,1.0,2258000000.0,564600.0,9000000.0,6800000.0,108400000.0,2000000.0,2006.0,1366417754.0,20.593684,78.96288
MrBeast,166000000,28368841870.0,Entertainment,MrBeast,741,United States,Entertainment,48.0,1.0,1348000000.0,337000.0,5400000.0,4000000.0,64700000.0,8000000.0,2012.0,328239523.0,37.09024,-95.712891
Cocomelon - Nursery Rhymes,162000000,164000000000.0,Education,Cocomelon - Nursery Rhymes,966,United States,Education,2.0,1.0,1975000000.0,493800.0,7900000.0,5900000.0,94800000.0,1000000.0,2006.0,328239523.0,37.09024,-95.712891
SET India,159000000,148000000000.0,Shows,SET India,116536,India,Entertainment,3.0,2.0,1824000000.0,455900.0,7300000.0,5500000.0,87500000.0,1000000.0,2006.0,1366417754.0,20.593684,78.96288
ýýý Kids Diana Show,112000000,93247040539.0,People & Blogs,ýýý Kids Diana Show,1111,United States,Entertainment,5.0,3.0,731674000.0,182900.0,2900000.0,2200000.0,35100000.0,0.0,2015.0,328239523.0,37.09024,-95.712891
PewDiePie,111000000,29058044447.0,Gaming,PewDiePie,4716,Japan,Entertainment,44.0,4.0,39184000.0,9800.0,156700.0,117600.0,1900000.0,0.0,2010.0,126226568.0,36.204824,138.252924
Like Nastya,106000000,90479060027.0,People & Blogs,Like Nastya Vlog,493,Russia,People,630.0,25.0,48947000.0,12200.0,195800.0,146800.0,2300000.0,100000.0,2016.0,144373535.0,61.52401,105.318756
Vlad and Niki,98900000,77180169894.0,Entertainment,Vlad and Niki,574,United States,Entertainment,8.0,6.0,580574000.0,145100.0,2300000.0,1700000.0,27900000.0,600000.0,2018.0,328239523.0,37.09024,-95.712891
Zee Music Company,96700000,57856289381.0,Music,Zee Music Company,8548,India,Music,12.0,2.0,803613000.0,200900.0,3200000.0,2400000.0,38600000.0,1100000.0,2014.0,1366417754.0,20.593684,78.96288
WWE,96000000,77428473662.0,Sports,WWE,70127,United States,Sports,7.0,1.0,714614000.0,178700.0,2900000.0,2100000.0,34300000.0,600000.0,2007.0,328239523.0,37.09024,-95.712891
